epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.0065,1.17628,0.52991,0.87152,0.50322,0.7395,0.58332,0.32749,1.78109,2.36572,0.89766,0.00332675,0.00332675,0.00332675
2,155.353,1.23796,0.55844,0.88288,0.5261,0.671,0.58339,0.26543,2.1926,2.56695,0.95888,0.00659414,0.00659414,0.00659414
3,230.703,1.28789,0.57813,0.89448,0.48178,0.731,0.64699,0.36489,1.82718,2.34003,0.93049,0.00979554,0.00979554,0.00979554
4,306.823,1.26046,0.57425,0.89363,0.76051,0.5235,0.57128,0.32925,1.64014,2.42441,0.88611,0.009703,0.009703,0.009703
5,384.373,1.20772,0.55571,0.88252,0.49777,0.766,0.63107,0.38307,1.54277,2.21398,0.88823,0.009604,0.009604,0.009604
6,461.282,1.1949,0.55024,0.88103,0.47829,0.7055,0.61346,0.35921,1.64602,2.39293,0.89413,0.009505,0.009505,0.009505
7,538.785,1.1616,0.52472,0.87095,0.55717,0.82,0.70742,0.3895,1.73325,2.096,0.88636,0.009406,0.009406,0.009406
8,616.071,1.15167,0.52085,0.87047,0.65918,0.65999,0.71753,0.48749,1.29534,1.6982,0.84421,0.009307,0.009307,0.009307
9,691.787,1.13428,0.51332,0.8674,0.47328,0.7595,0.57684,0.32054,1.75924,2.31979,0.88902,0.009208,0.009208,0.009208
10,766.456,1.11001,0.50634,0.86351,0.58222,0.7675,0.71104,0.40213,1.68767,2.08325,0.88288,0.009109,0.009109,0.009109
11,841.283,1.10464,0.50547,0.86193,0.55447,0.5905,0.55764,0.3568,1.32348,2.11375,0.84614,0.00901,0.00901,0.00901
12,916.276,1.11423,0.50716,0.86289,0.5962,0.511,0.48899,0.30027,1.53904,2.46858,0.87146,0.008911,0.008911,0.008911
13,990.973,1.09807,0.4931,0.86265,0.41987,0.7335,0.57213,0.38671,1.31835,2.22647,0.841,0.008812,0.008812,0.008812
14,1065.78,1.07507,0.49055,0.86652,0.53198,0.7315,0.66539,0.44279,1.33435,2.26208,0.84373,0.008713,0.008713,0.008713
15,1140.63,1.06176,0.48123,0.86483,0.49513,0.7285,0.63019,0.4032,1.44935,2.1857,0.84633,0.008614,0.008614,0.008614
16,1215.35,1.05817,0.48143,0.85814,0.58344,0.854,0.71919,0.43315,1.46159,1.91215,0.86768,0.008515,0.008515,0.008515
17,1290.59,1.05605,0.48043,0.8549,0.45691,0.766,0.58674,0.3883,1.31967,2.11588,0.84601,0.008416,0.008416,0.008416
18,1364.1,1.05801,0.47792,0.85794,0.48147,0.768,0.6521,0.45722,1.16848,2.16425,0.82713,0.008317,0.008317,0.008317
19,1440.09,1.03071,0.47412,0.85253,0.55388,0.733,0.68566,0.46637,1.33241,2.20422,0.84422,0.008218,0.008218,0.008218
20,1515.93,1.03607,0.46869,0.85141,0.49197,0.785,0.64884,0.423,1.36924,2.12175,0.84299,0.008119,0.008119,0.008119
21,1590.56,1.01174,0.46056,0.85119,0.57256,0.659,0.59759,0.39819,1.34783,2.46727,0.84663,0.00802,0.00802,0.00802
22,1666.23,1.01811,0.46146,0.8524,0.53399,0.822,0.73736,0.46915,1.32827,1.89195,0.84366,0.007921,0.007921,0.007921
23,1742.48,0.99579,0.45279,0.84835,0.54082,0.6925,0.59355,0.41723,1.25307,2.33368,0.8308,0.007822,0.007822,0.007822
24,1818.28,0.99812,0.45417,0.84581,0.60808,0.6975,0.69878,0.4006,1.53396,1.59905,0.8644,0.007723,0.007723,0.007723
25,1892.53,0.99572,0.4484,0.84066,0.50266,0.6805,0.57705,0.41451,1.2098,2.42888,0.82335,0.007624,0.007624,0.007624
26,1967.48,0.9796,0.44475,0.84627,0.56078,0.728,0.68812,0.48812,1.16659,2.2597,0.82619,0.007525,0.007525,0.007525
27,2041.15,0.98322,0.4433,0.84109,0.56328,0.7175,0.67102,0.44512,1.31594,2.23054,0.84177,0.007426,0.007426,0.007426
28,2115.45,0.98051,0.44641,0.84484,0.47339,0.77,0.59977,0.39029,1.36954,2.24417,0.84513,0.007327,0.007327,0.007327
29,2190.09,0.96014,0.43634,0.84029,0.57265,0.8565,0.70577,0.52208,1.10493,2.01057,0.8167,0.007228,0.007228,0.007228
30,2264.78,0.97191,0.44224,0.84678,0.58997,0.682,0.70103,0.4905,1.2348,2.41559,0.8276,0.007129,0.007129,0.007129
31,2339.13,0.96926,0.43924,0.83955,0.57825,0.7785,0.72982,0.54267,1.13632,2.12418,0.82148,0.00703,0.00703,0.00703
